№,Point_type,Category,Name_mon,Name_eng,Aimag_name_mon,Aimag_name_eng,Sum_name_mon,Sum_name_eng,Lat,Long,Description_mon,Description_eng,Photo_URL,Name_kr,Name_jp,Name_cn,Name_ru,Description_kor,Description_jpn,Description_zho,Description_rus
11,1,Байгалийн үзэсгэлэнт газар,Мөст агуй,Ice Cave,Архангай,Arkhangai,Тариат,Tariat,48.17204,99.82978,Тариат сутын төвөөс баруун хойд зүгт 5 км зайтай оршино.,It is located 5 km northwest of the center of Tariat.,https://www.dropbox.com/scl/fi/p3yzdle4txnqessxzmm08/.jpg?rlkey=0zn3bzd758dvpzcqmta2zh6je&raw=1,얼음 동굴,氷の洞窟,冰洞,Ледяная пещера,타리아트(Tariat) 중심에서 북서쪽으로 5km 떨어진 곳에 위치해 있다.,タリアットの中心部から北西に 5 km に位置します。,它位于塔里亚特市中心西北5公里处。,Он расположен в 5 км к северо-западу от центра Тариата.
12,1,Байгалийн үзэсгэлэнт газар,Мэлхий хад,Frog Rock,Архангай,Arkhangai,Тариат,Tariat,48.18113,99.78851,Тариат сутын төвөөс баруун хойд зүгт 11 км зайтай оршино.,It is located 11 km northwest of the city center.,https://www.dropbox.com/scl/fi/2fysatbpfjcb9151a4r44/1.jpg?rlkey=yztpqhr3higepa1pes9olp3ki&raw=1,개구리바위,カエル岩,青蛙岩,Лягушачья скала,시내 중심에서 북서쪽으로 11km 떨어져 있다.,Error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know.,位于市中心西北11公里处。,Он расположен в 11 км к северо-западу от центра города.
13,1,Байгалийн үзэсгэлэнт газар,Өгий нуур,Ugii Lake,Архангай,Arkhangai,Өгийнуур,Ogiinur,47.77405,102.783,"25 хавтгай дөрвөлжин километр талбайтай нуур. 7 километр урт, 5 километр өргөн. Хамгийн гүнзгий газартаа 15 метр орчим. Далайн төвшнөөс дээш 1337 метр өргөгдсөн. Өгийнуур сумын төвөөс зүүн хойд зүгт 24 км зайтай оршино.","Lake with an area of ​​25 square kilometers. 7 kilometers long, 5 kilometers wide. About 15 meters at its deepest point. Elevated 1337 meters above sea level. Located 24 km northeast of the center of Ugiinuur soum.",https://www.dropbox.com/scl/fi/6kyr7ad34a6ag2q8e499u/Ugiilake.jpg?rlkey=lp4khy3wthubsefu79crwclr5&raw=1,우기이 호수,ウギー湖,乌吉湖,Озеро Угий,"면적이 25평방킬로미터인 호수. 길이 7km, 폭 5km. 가장 깊은 곳은 약 15미터. 해발 1337m 높이. Ugiinuur soum 중심에서 북동쪽으로 24km 떨어져 있습니다.",面積25平方キロメートルの湖。長さ7キロメートル、幅5キロメートル。最深部で約15メートル。標高1337メートル。ウギイヌール ソムの中心部から北東 24 km に位置します。,湖面积25平方公里。长7公里，宽5公里。最深处约15米。海拔1337米。位于乌吉努尔苏姆中心东北24公里处。,"Озеро площадью 25 квадратных километров. Длина 7 километров, ширина 5 километров. В самой глубокой точке около 15 метров. Возвышается на 1337 метров над уровнем моря. Расположен в 24 км к северо-востоку от центра сума Угийнуур."
14,1,Байгалийн үзэсгэлэнт газар,Суварга хайрхан уул (3179м),Suvarga Khairkhan Mountain,Архангай,Arkhangai,Цэнхэр,Tsenkher,47.05601,101.36538,"Суварга хайрхан уул нь хормойгоороо ой модоор хучигдсан, нүцгэн оройтой, ноён оргилоосоо доош уулын энгэр талдаа тунгалаг нууртай, завилаад сууж буй хүн шиг сонин тогтоц бүхий уул юм. ","Suvarga Khairkhan Mountain is a mountain with a bare peak, covered with forests along its slopes, and a clear lake on the slopes below its peak, with a curious shape resembling a man sitting cross-legged.",https://www.dropbox.com/scl/fi/x4szah8x9x9yuq1jfkwee/.jpg?rlkey=d5luxwwj69fnqksr2pp972a4s&raw=1,수바르가 카이르칸 산,スヴァルガ・ハイルカン山,苏瓦尔加凯尔汗山,Гора Суварга Хайрхан,"수바르가 카이르칸산(Suvarga Khairkhan Mountain)은 맨 봉우리가 있고 경사면을 따라 숲이 우거져 있으며, 정상 아래 경사면에는 맑은 호수가 있어 다리를 꼬고 앉아 있는 사람과 같은 기이한 모양을 하고 있는 산입니다.",スヴァルガ・ハイルカーン山は、裸の頂上を持ち、斜面に沿って森林に覆われ、頂上の下の斜面には透明な湖がある山で、あぐらをかいて座っている男性に似た奇妙な形をしています。,苏瓦尔加凯尔汗山是一座山峰光秃秃的山峰，山坡上长满了森林，峰下山坡上有一个清澈的湖泊，形状奇特，像一个盘腿而坐的人。,"Гора Суварга Хайрхан — гора с голой вершиной, покрытой лесом по склонам, и чистым озером на склонах ниже ее вершины, причудливой формой напоминающей человека, сидящего, скрестив ноги."
15,2,Түүхийн дурсгалт газар,Сайрын овоо,Sairyn Ovoo,Архангай,Arkhangai,Цэнхэр,Tsenkher,47.43879,101.62623,Цэнхэр сумын төвөөс баруун зүгт 10 км зайтай оршино.,It is located 10 km west of the center of Tsenkher soum.,https://www.dropbox.com/scl/fi/owrh6lu8b2y25a11xx7ah/.jpg?rlkey=he6r7fg7ejk081jw4jsgqwk5w&raw=1,사이린 오부,サイリン・オヴォー,赛琳·奥沃,Сэйрин Овоо,Tsenkher soum 중심에서 서쪽으로 10km 떨어져 있습니다.,ツェンケル ソムの中心部から西​​に 10 km に位置します。,它位于Tsenkher soum中心以西10公里处。,Он расположен в 10 км к западу от центра сомона Ценхер.
16,2,Түүхийн дурсгалт газар,Шивээт улаан Архангай,Shiveet Ulaan Ruin,Архангай,Arkhangai,Цэнхэр,Tsenkher,47.07073,102.07087,Цагаан сүмийн голын хойд эрэгт оршино.,It is located on the north bank of the White Mosque River.,,시비트 울란 유적,シヴィート・ウラーン遺跡,希维特乌兰遗址,Руины Шивеет-Улаан,화이트 모스크 강의 북쪽 기슭에 위치하고 있습니다.,ホワイト モスク川の北岸に位置します。,它位于白色清真寺河北岸。,Он расположен на северном берегу реки Белая Мечеть.
17,1,Байгалийн үзэсгэлэнт газар,Тайхар чулуу,Taikhar Rock,Архангай,Arkhangai,Ихтамир,Ikhtamir,47.6005,101.25363," Хойд Тамир голын эрэгт байрлах Тайхар чулуу нь аймгийн төвөөс 20 км зайд оршдог, 16 метр өндөр эгц боржин чулуун цохио юм. Энэхүү гайхалтай чулууг бий болсон талаар олон домог бий.","Located on the banks of the Northern Tamir River, Taikhar Rock is a steep granite cliff 16 meters high, located 20 kilometers from the provincial center. There are many legends about the formation of this amazing rock.",https://www.dropbox.com/scl/fi/13w5rhok9mrec1q7xcw3x/TaikharRock.jpg?rlkey=kvu79r3r0hzbgxzncn54m2hgy&raw=1,타이카르 록,タイカール ロック,泰卡岩,Тайхар Рок,북부 타미르강 유역에 위치한 타이하르 바위는 지방 중심지에서 20km 떨어진 높이 16m의 가파른 화강암 절벽입니다. 이 놀라운 암석의 형성에 관한 많은 전설이 있습니다.,北タミール川のほとりに位置するタイハール ロックは、州の中心部から 20 キロ離れた高さ 16 メートルの花崗岩の切り立った崖です。この素晴らしい岩の形成については多くの伝説があります。,泰哈尔岩位于北塔米尔河畔，是一座高16米的陡峭花岗岩悬崖，距省中心20公里。关于这块神奇岩石的形成有许多传说。,"Расположенная на берегу реки Северный Тамир скала Тайхар представляет собой отвесную гранитную скалу высотой 16 метров, расположенную в 20 километрах от областного центра. Об образовании этой удивительной скалы ходит множество легенд."
18,1,Байгалийн үзэсгэлэнт газар,Тамирын гол,Tamir River,Архангай,Arkhangai,Өгийнуур,"Ogiinur, Ikhtamir, Battsengel, Ugiinuur, Bulgan, Tsenkher",47.76034,102.51995,"Урд, Хойд Тамирын голууд нийлэн Тамирын гол нэртэйгээр зүүн зүгт  урсан Өгий нуурт цутгана.","The South and North Tamir rivers merge and flow into Lake Ogii, which flows eastward under the name Tamir.",https://www.dropbox.com/scl/fi/dcsqnd5pvyhfw19dwigc7/.jpg?rlkey=rq8cmolma4afprfenfwj05tul&raw=1,타미르 강,タミール川,塔米尔河,Река Тамир,남강과 북타미르 강은 합류하여 오기 호수(Ogii Lake)로 흘러들어 타미르(Tamir)라는 이름으로 동쪽으로 흐른다.,南タミール川と北タミール川は合流してオギイ湖に流れ込み、タミール川という名前で東に流れます。,南、北塔米尔河汇合流入奥吉湖，湖水以塔米尔之名向东流淌。,"Реки Южный и Северный Тамир сливаются и впадают в озеро Огий, которое течет на восток под названием Тамир."
19,1,Байгалийн үзэсгэлэнт газар,Тэрхийн цагаан нуур,Terkhiin Tsagaan Lake,Архангай,Arkhangai,Тариат,Tariat,48.16129,99.72011,"Хоргын тогооны дэргэд байрлах цэнгэг уст нуур. Хангайн нуруунаас эх авсан Хойд, Урд Тэрхийн голын урсгал Хорго галт уулын халуун хайлмал бодист боогдон үүсчээ.","A freshwater lake located near the Khorgo crater. The North and South Terkh rivers, originating in the Khangai Mountains, were formed by the hot molten material of the Khorgo volcano.",https://www.dropbox.com/scl/fi/scpuie9gev6fiuhujrpw5/Terkhiinlake.jpg?rlkey=0wh36erf7gnapyniq8f0t4lsx&raw=1,테르킨 차간 호수,テルヒン・ツァガーン湖,特尔欣察干湖,Озеро Терхийн Цагаан,코르고 분화구 근처에 위치한 담수호입니다. 항가이 산맥(Khangai Mountains)에서 발원한 남북 테르흐 강(North Terkh River)은 호르고(Khorgo) 화산의 뜨겁고 녹은 물질에 의해 형성되었습니다.,ホルゴ火口の近くにある淡水湖。ハンガイ山脈を源流とする北テルフ川と南テルフ川は、ホルゴ火山の高温の溶融物質によって形成されました。,位于霍尔戈火山口附近的淡水湖。北捷尔赫河和南捷尔赫河发源于杭爱山脉，由霍尔戈火山的炽热熔融物质形成。,"Пресноводное озеро, расположенное недалеко от кратера Хорго. Реки Северный и Южный Терх, берущие начало в Хангайских горах, образовались горячим расплавленным материалом вулкана Хорго."
20,1,Байгалийн үзэсгэлэнт газар,Хануй гол,Khanui River,Архангай,Arkhangai,Өндөр-Улаан,"Chuluut, Ikhtamir, Undur-Ulaan, Erdenemandal, Tsetserleg, Khairkhan",48.02396,101.03394,"Архангай аймгийн нутгаар Хангайн нуруунаас эх авч зүүн хойшоо 421 км урсаад Сэлэнгэ мөрөнд нийлдэг. Хануй, Хүнүй голын бэлчирээс доошлох тусам 20-30 метр гүн эгц хүрмэн хавцал дундуур урсана. ","It originates in the Khangai Range in Arkhangai Province and flows northeast for 421 km before joining the Selenge River. As it descends from the confluence of the Khanui and Khunui rivers, it flows through steep, 20-30 meter deep gorges.",https://www.dropbox.com/scl/fi/6b2lth1xkt8bzadvhqed6/.jpg?rlkey=p4of6u11n3d7h8y822g32zf93&raw=1,카누이 강,ハヌイ川,卡努伊河,Река Хануй,아르항가이 지방의 항가이 산맥에서 발원하여 북동쪽으로 421km를 흐르다가 셀렝게 강에 합류합니다. 카누이강과 쿠누이강의 합류점에서 내려오면서 깊이 20~30m의 가파른 협곡을 통과해 흐른다.,アルハンガイ県のハンガイ山脈に源を発し、北東に 421 km 流れ、その後セレンゲ川に合流します。ハヌイ川とクヌイ川の合流点から流れ、深さ 20 ～ 30 メートルの急峻な渓谷を流れます。,发源于阿尔杭爱省杭爱山脉，向东北流421公里，注入色楞格河。从卡努伊河 (Khanui River) 和库努伊河 (Khunui River) 交汇处顺流而下，流经 20-30 米深的陡峭峡谷。,"Берет начало на Хангайском хребте в Архангайской области и течет на северо-восток на протяжении 421 км, прежде чем впадает в реку Селенга. Спускаясь от места слияния рек Хануи и Хунуй, он течет по крутым ущельям глубиной 20-30 метров."
21,2,Түүхийн дурсгалт газар,Хар балгас,Khar Balgas Ruin ,Архангай,Arkhangai,Хотонт,Khotont,47.4313,102.65975,Төв Азийн нүүдэлч ард түмний дунд МЭ VIII-IХ зууны үед ээлжит төр улсаа байгуулан 100 орчим жил оршин тогтнож байсан Уйгурын хаант улсын нийслэл Орду балык буюу нутгийнхны нэршлээр Хар балгас гэдэг их хотын туурь  Хархориноос зүүн хойш 40 км-т Орхоны хөндийд байдаг.,"The ruins of the great city of Ordu Balyk, or Khar Balgas as the locals call it, the capital of the Uyghur Khanate, which was a nomadic people of Central Asia that established its own state in the 8th-9th centuries AD and existed for about 100 years, are located 40 km northeast of Kharkhorin in the Orkhon Valley.",https://www.dropbox.com/scl/fi/220zxyzkegu9sk9pg5tsd/.jpg?rlkey=t52wgv0bik45cyxoe8bx2bjb7&raw=1,카르 발가스 폐허,カール・バルガス遺跡,卡尔巴尔加斯遗址,Руины Хар Балгаса,"위구르 칸국의 수도인 오르두 발릭(Ordu Balyk) 또는 지역 주민들이 카르 발가스(Khar Balgas)라고 부르는 대도시의 유적은 서기 8~9세기에 자신의 국가를 설립하고 약 100년 동안 존재했던 중앙아시아 유목민으로, 카르코린에서 북동쪽으로 40km 떨어진 오르콘 계곡(Orkhon Valley)에 위치해 있습니다.",オルドゥ・バリク、または地元の人々がハル・バルガスと呼ぶ大都市の遺跡は、西暦8世紀から9世紀に独自の国家を設立し、約100年間存在した中央アジアの遊牧民族であるウイグル・ハン国の首都であり、ハルホリンの北東40kmのオルホン渓谷に位置しています。,奥尔都巴力克（当地人称其为哈巴尔嘎斯）伟大城市的遗址位于鄂尔浑河谷哈尔和林东北 40 公里处，是中亚游牧民族维吾尔汗国的首都，于公元 8 至 9 世纪建立了自己的国家，存在了约 100 年。,"В 40 км к северо-востоку от Хархорина в долине Орхона расположены руины великого города Орду-Балык, или Хар-Балгас, как его называют местные жители, столицы Уйгурского ханства, кочевого народа Средней Азии, создавшего собственное государство в VIII-IX веках нашей эры и просуществовавшего около 100 лет."
22,1,Байгалийн үзэсгэлэнт газар,Цагаан сүмийн халуун рашаан,White Temple Hot Springs,Архангай,Arkhangai,Хотонт,Khotont,47.06708,102.09899,Хотонт сумын төвөөс баруун өмнө зүгт 46 км зайтай оршино.,It is located 46 km southwest of the center of Khotont soum.,https://www.dropbox.com/scl/fi/9brxd4gvocvjho3yn9ysk/.jpg?rlkey=m5xa4b6ry2st1m97nubdttxef&raw=1,화이트 템플 온천,ホワイトテンプル温泉,白庙温泉,Горячие источники Белая мечеть,Khotont soum 중심에서 남서쪽으로 46km 떨어져 있습니다.,コトント・スムの中心部から南西に46kmに位置しています。,它位于Khotont soum中心西南46公里处。,Расположен в 46 км к юго-западу от центра сомона Хотонт.
