№,Point_type,Category,Name_mon,Name_eng,Aimag_name_mon,Aimag_name_eng,Sum_name_mon,Sum_name_eng,Lat,Long,Description_mon,Description_eng,Photo_URL,Name_kr,Name_jp,Name_cn,Name_ru
31,1,Байгалийн үзэсгэлэнт газар,Шар нохойн там,Shar Nokhoin Tam,Архангай,Arkhangai,Тариат,Tariat,48.17286,99.82929,Тариат сутын төвөөс баруун хойд зүгт 5 км зайтай оршино.,It is located 5 km northwest of the center of Tariat.,https://www.dropbox.com/scl/fi/sy497wahg3sc3a7osk3ft/.jpg?rlkey=6nyvzkqhdhzhdks8a4ktbmcka&raw=1,샤 녹호인 탐,シャール・ノクホイン・タム,沙尔·诺科因·谭,Шар Нохоин Там
32,1,Байгалийн үзэсгэлэнт газар,Шивэртийн нуур,Shivert Lake,Архангай,Arkhangai,Тариат,Tariat,48.1096,99.17569,"Тэрхийн цагаан нуурын баруун зүгт 32 км  зайтай, далайн түшвнээс дээш 2050 метрийн өндөрт оршино.","It is located 32 km west of Lake Terkhin Tsagaan and at an altitude of 2,050 meters above sea level.",https://www.dropbox.com/scl/fi/14ct8roinr4kb0vg1lg9i/.jpg?rlkey=4untz6ee7f8p4dtixicdqc51f&raw=1,쉬버트 호수,シバート湖,希弗特湖,Озеро Шиверт
33,3,Шашны дурсгалт газар,Чулуутын хийдийн туурь,Ruins of Chuluut Monastery,Архангай,Arkhangai,Чулуут,Chuluut,47.86282,100.33743,Чулуут сумын төвөөс зүүн хойд зүгт 44 орчим км затай оршино.,It is located about 44 kilometers northeast of the center of Chuluut soum.,https://www.dropbox.com/scl/fi/u5pi616cdrgx0hciqfpmn/.jpg?rlkey=pem1rm0obbzpwht9h7xdvn76a&raw=1,출루트 수도원 유적,チュルート修道院の遺跡,楚鲁特修道院遗址,Руины монастыря Чулуут
34,1,Байгалийн үзэсгэлэнт газар,Халуун-Ус рашаан,Hot Water Spring,Архангай,Arkhangai,Чулуут,Chuluut,47.75654,100.24363,Чулуут сумын Халуун-Ус багийн нутагт байдаг халуун рашаан,Hot springs in the Khaluun-Us Bag area of ​​Chuluut soum,,온천,温泉,温泉,Горячий источник
35,3,Шашны дурсгалт газар,Бага наран суварга,Baga Naran stupa,Архангай,Arkhangai,Чулуут,Chuluut,47.73031,100.26335,Эрдэм чадалтай Нарангийн Шоовой багш түүний шавь Ширээт гэгээн нарын амьдарч байсан газар. Чулуут сумын төвөөс хойд зүгт 30 км зайтай оршино. ,The place where the learned Naranian Shoovoy and his disciple Shireet Gegegen Lama lived. It is located 30 km north of the center of Chuluut soum.,,바가 나란,バガ・ナラン,巴加纳兰,Бага Наран
36,3,Шашны дурсгалт газар,Улаан овоо суварга,Ulaan Ovoo Stupa,Архангай,Arkhangai,Чулуут,Chuluut,47.674,100.33014,Чулуут сумын төвөөс зүүн хойд зүгт 20 орчим км затай оршино.,It is located about 20 kilometers northeast of the center of Chuluut soum.,,울란 오보 스투파,ウラン・オヴォー仏塔,乌兰峨眉佛塔,Ступа Улан-Овоо
37,1,Байгалийн үзэсгэлэнт газар,Цогт сүмбэр уул (3348м),Tsogtsumber Mountain (3348m),Архангай,Arkhangai,Чулуут,Chuluut,47.20897,100.11887,Чулуут сумын нутагт орших далайн түвшнээс дээш 3348.4 метр өндөрт орших сүрлэг сайхан хайрхан юм.,"It is a majestic and beautiful mountain located at an altitude of 3,348.4 meters above sea level in Chuluut soum.",https://www.dropbox.com/scl/fi/5wi2jot24ngcwy3hz88zc/.jpg?rlkey=maku4i07rea0s17xo93ju9wsc&raw=1,초그트 숨버 산,ツォグト・スンベル山,特索格特桑伯山,Гора Цогт-Сумбер
38,1,Байгалийн үзэсгэлэнт газар,Хорго Тэрхийн Цагаан Нуур БЦГ,Khorgo Terkhian Tsagaan Nuur Natural Park,Архангай,Arkhangai,Тариат,Tariat,48.20705,99.64969,"Тэрхийн цагаан нуур, Хорго унтарсан галт уулын хосолсон аялал жуулчлалын бүс нутаг",Terkhian Tsagaan Nuur and Khorgo extinct volcano combined tourism area star_border Save translation,https://www.dropbox.com/scl/fi/2se6ysqtmev2opkjxpvbj/.jpg?rlkey=3jenmyr0v18ukn0ue2geyeu7x&raw=1,코르고 테르키안 차가안 누르 자연공원,ホルゴ テルキアン ツァガーン ヌール自然公園,霍尔果·特尔赫安·察干努尔自然公园,Природный парк Хорго Терхян Цагаан Нуур
39,1,Байгалийн үзэсгэлэнт газар,Орхон гол,Orkhon River,Архангай ,Arkhangai,Өгийнуур,"Ugiinuur, Ulziit",47.63705,102.56669,"Хангайн нурууны Суварга хайрхан (3,179.1 м) уулын өвөр, Хар хуштын давааны (2,670 м ) зүүн өмнөд хажуугаас эх авч 1,149 км урсаад Сэлэнгэ мөрний баруун талаас Сүхбаатар хотын дэргэд нийлдэг бөгөөд Сэлэнгэ мөрний хамгийн том цутгал гол юм.","It originates from the foot of Suvarga Khairkhan (3,179.1 m) mountain in the Khangai Mountains, on the southeastern slope of the Khar Khusht Pass (2,670 m), flows for 1,149 km, and joins the Selenge River from the west near the city of Sukhbaatar, and is the largest tributary of the Selenge River.",https://www.dropbox.com/scl/fi/0faou6rkfx1am608lgxf3/.jpg?rlkey=cyhuoanpqzstkm93vrvhd86h1&raw=1,오르혼 강,オルホン川,鄂尔浑河,Река Орхон
40,1,Байгалийн үзэсгэлэнт газар,Их нуур,Ikh Lake,Архангай,Arkhangai,Эрдэнэмандал,Erdenemandal,48.46496,101.36601,Эрдэнэмандал сумын төвөөс урд зүгт 4.5 км зайтай оршино,It is located 4.5 km south of the center of Erdenemandal soum.,https://www.dropbox.com/scl/fi/ww7le475sow26pecqm7u3/.jpg?rlkey=v8fetpupogeo8p9wuv0uhvpd6&raw=1,이크 호수,イク湖,伊赫湖,Озеро Икх
41,2,Түүхийн дурсгалт газар,Хар хул хааны балгас,Ruins of the Black Khul Khan,Архангай,Arkhangai,Эрдэнэмандал,Erdenemandal,48.47078,101.33113,Эрдэнэмандал сумын төвөөс баруун өмнө зүгт 7 км зайтай оршино.,It is located 7 km southwest of the center of Erdenemandal soum.,https://www.dropbox.com/scl/fi/nf1m3q3a2ejqx4u48sgjt/.jpg?rlkey=gbn94y6da48w3t0vvx0e2ezlw&raw=1,블랙 쿨 칸의 유적,ブラック・クル・カーンの遺跡,黑库尔汗遗址,Руины Чёрного Кхул-хана
42,1,Байгалийн үзэсгэлэнт газар,Адаг нуур,Adag Lake,Баян-Өлгий,Bayan-Olgii,Ногооннуур,Nogoonnuur,49.51523,89.84679,Цагааннуур багийн төвөөс баруун зүгт 6 км зайтай оршино.,It is located 6 km west of the center of Tsagaannuur.,https://www.dropbox.com/scl/fi/8fr24fgmipeyo3b9cgboo/.jpg?rlkey=sgp1hme7xzpqmw0ial5ys40ys&raw=1,아닥 호수,アダグ湖,阿达格湖,Озеро Адаг
