№,Point_type,Category,Name_mon,Name_eng,Aimag_name_mon,Aimag_name_eng,Soum_name_mon,Soum_name_eng,Lat,Long,Description_mon,Description_eng,Photo_URL,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
11,1,Байгалийн үзэсгэлэнт газар,Өгий нуур,Ugii Lake,Архангай,Arkhangai,Өгийнуур,Ogiinur,47.77405,102.783,"25 хавтгай дөрвөлжин километр талбайтай нуур. 7 километр урт, 5 километр өргөн. Хамгийн гүнзгий газартаа 15 метр орчим. Далайн төвшнөөс дээш 1337 метр өргөгдсөн. Өгийнуур сумын төвөөс зүүн хойд зүгт 24 км зайтай оршино.","Lake with an area of ​​25 square kilometers. 7 kilometers long, 5 kilometers wide. About 15 meters at its deepest point. Elevated 1337 meters above sea level. Located 24 km northeast of the center of Ugiinuur soum.",Nature/Buur heeriin tal.jpg,,,,,,,,,
12,1,Байгалийн үзэсгэлэнт газар,Суварга хайрхан уул,Suvarga Khairkhan Mountain,Архангай,Arkhangai,Цэнхэр,Tsenkher,47.05601,101.36538,"Суварга хайрхан уул нь хормойгоороо ой модоор хучигдсан, нүцгэн оройтой, ноён оргилоосоо доош уулын энгэр талдаа тунгалаг нууртай, завилаад сууж буй хүн шиг сонин тогтоц бүхий уул юм. ","Suvarga Khairkhan Mountain is a mountain with a bare peak, covered with forests along its slopes, and a clear lake on the slopes below its peak, with a curious shape resembling a man sitting cross-legged.",Nature/Dalailake'jpg.jpg,,,,,,,,,
13,1,Байгалийн үзэсгэлэнт газар,Тайхар чулуу,Taikhar Rock,Архангай,Arkhangai,Ихтамир,Ikhtamir,47.6005,101.25363," Хойд Тамир голын эрэгт байрлах Тайхар чулуу нь аймгийн төвөөс 20 км зайд оршдог, 16 метр өндөр эгц боржин чулуун цохио юм. Энэхүү гайхалтай чулууг бий болсон талаар олон домог бий.","Located on the banks of the Northern Tamir River, Taikhar Rock is a steep granite cliff 16 meters high, located 20 kilometers from the provincial center. There are many legends about the formation of this amazing rock.",Nature/Dayandeerkh.jpg.jpg,,,,,,,,,
14,1,Байгалийн үзэсгэлэнт газар,Тамирын гол,Tamir River,Архангай,Arkhangai,Өгийнуур,Ogiinur,47.76034,102.51995,"Урд, Хойд Тамирын голууд нийлэн Тамирын гол нэртэйгээр зүүн зүгт  урсан Өгий нуурт цутгана.","The South and North Tamir rivers merge and flow into Lake Ogii, which flows eastward under the name Tamir.",Nature/Dayanlake.jpg.jpg,,,,,,,,,
15,1,Байгалийн үзэсгэлэнт газар,Тэрхийн цагаан нуур,Terkhiin Tsagaan Lake,Архангай,Arkhangai,Тариат,Tariat,48.16129,99.72011,"Хоргын тогооны дэргэд байрлах цэнгэг уст нуур. Хангайн нуруунаас эх авсан Хойд, Урд Тэрхийн голын урсгал Хорго галт уулын халуун хайлмал бодист боогдон үүсчээ.","A freshwater lake located near the Khorgo crater. The North and South Terkh rivers, originating in the Khangai Mountains, were formed by the hot molten material of the Khorgo volcano.",Nature/Deluunboldog.jpg.jpg,,,,,,,,,
16,1,Байгалийн үзэсгэлэнт газар,Хануй гол,Khanui River,Архангай,Arkhangai,Өндөр-Улаан,Undur-Ulaan,48.02396,101.03394,"Архангай аймгийн нутгаар Хангайн нуруунаас эх авч зүүн хойшоо 421 км урсаад Сэлэнгэ мөрөнд нийлдэг. Хануй, Хүнүй голын бэлчирээс доошлох тусам 20-30 метр гүн эгц хүрмэн хавцал дундуур урсана. ","It originates in the Khangai Range in Arkhangai Province and flows northeast for 421 km before joining the Selenge River. As it descends from the confluence of the Khanui and Khunui rivers, it flows through steep, 20-30 meter deep gorges.",Nature/Doodtsagaanlake.jpg.jpg,,,,,,,,,
17,2,Түүхийн дурсгалт газар,Хар балгас,Khar Balgas Ruin ,Архангай,Arkhangai,Хотонт,Khotont,47.4313,102.65975,Төв Азийн нүүдэлч ард түмний дунд МЭ VIII-IХ зууны үед ээлжит төр улсаа байгуулан 100 орчим жил оршин тогтнож байсан Уйгурын хаант улсын нийслэл Орду балык буюу нутгийнхны нэршлээр Хар балгас гэдэг их хотын туурь  Хархориноос зүүн хойш 40 км-т Орхоны хөндийд байдаг.,"The ruins of the great city of Ordu Balyk, or Khar Balgas as the locals call it, the capital of the Uyghur Khanate, which was a nomadic people of Central Asia that established its own state in the 8th-9th centuries AD and existed for about 100 years, are located 40 km northeast of Kharkhorin in the Orkhon Valley.",Nature/Durgenlake.jpg.jpg,,,,,,,,,
18,1,Байгалийн үзэсгэлэнт газар,Хорго уул,Khorgo Mountain,Архангай,Arkhangai,Тариат,Tariat,48.18629,99.85693,Одоогоос 9 мянга орчим жилийн өмнө дэлбэрч байгаад унтарсан галт уул юм. Далайн түвшнээс дээш 2240 метрийн өндөр бөгөөд  Тариат сумын төөөс баруун хойд зүгт 4 км зайтай оршино.,"It is a dormant volcano that erupted about 9,000 years ago. It is 2,240 meters above sea level and is located 4 km northwest of Tariat soum.",Nature/Duuтlake.jpg.jpeg,,,,,,,,,
19,1,Байгалийн үзэсгэлэнт газар,Хөдөө нуур,Khuduu Lake,Архангай,Arkhangai,Тариат,Tariat,48.16511,99.53246,Тэрхийн цагаан нуурын баруун талд 2.5 км зйтай далайн түвшнээс дээш 2061 метр өндөрт оршино   оршино.,"It is located on the west side of Lake Terkhin, 2.5 km long, at an altitude of 2061 meters above sea level.",Nature/Gelenkhuu.jpg.jpg,,,,,,,,,
20,2,Түүхийн дурсгалт газар,Хөшөө цайдам музей,Khushuu Tsaidam Museum,Архангай,Arkhangai,Хашаат,Fence,47.56083,102.84082,"Монгол Улсын Засгийн газрын 2010 оны 32-р тоот тогтоолоор Монгол Улсын нутаг дэвсгэр дээр оршиж байсан Түрэгийн хаант улсын түүх, соёлтой холбогдол бүхий хосгүй үнэт эд өлгийн зүйл, олдворыг хадгалж хамгаалах, судлах, сурталчилах үүрэг бүхий Хөшөө Цайдам музей байгуулагдсан юм. Музей нь байнгын үзэсгэлэнгийн танхим, түр үзэсгэлэнгийн танхим болон гадна үзэсгэлэнгийн талбайтай.","The Hushöö Tsaydam Museum was established by the Mongolian Government Decree No. 32 of 2010, with the mission of preserving, studying, and promoting unique valuable artifacts and finds related to the history and culture of the Turkic Khanate that existed on the territory of Mongolia. The museum has a permanent exhibition hall, a temporary exhibition hall, and an outdoor exhibition area.",Nature/Gunjiinsum.jpg.jpg,,,,,,,,,
21,1,Байгалийн үзэсгэлэнт газар,Хунт нуур,Khunt Lake,Архангай,Arkhangai,Тариат,Tariat,48.07585,99.51652,"Тэрхийн цагаан нуурын баруун өмнө зүгт 6.5 км  зайтай, далайн түшвнээс дээш 2060 метрийн өндөрт оршино.","It is located 6.5 km southwest of Lake Terkhin Tsagaan and at an altitude of 2,060 meters above sea level.",Nature/Har_balgas.jpg,,,,,,,,,
22,3,Шашны дурсгалт газар,Цахирын 2 шүтээн,Tsakhir Two Monks Stupa,Архангай,Arkhangai,Цахир,Tsakhir,48.09223,98.73099,"Суварган дотор Тойн-Эрдэнэ Чүлтэмжамц буюу Өвгөн Гэсэр лам, түүний шавь Цорж-аграмба Санжжав нарын “занданшсан шарил” буй бөгөөд эдгээрийг ХОС ОРШИНОЛ хэмээн нэрлэжээ. ","Inside the stupa are the “buried remains” of Toin-Erdene Chultemjamts, or Old Geser Lama, and his disciple Tsorj-agramba Sanjjav, which are called DOUBLE RESIDENCES.",Nature/Khorgo.jpg,,,,,,,,,
23,1,Байгалийн үзэсгэлэнт газар,Чулуутын гол,Chuluut River,Архангай,Arkhangai,"Тариат, Чулуут, Өндөр-Улаан","Tariat, Chuluut, Undur-Ulaan",48.15943,100.30425,"Чулуут голын урт 415км. Энэ гол Хангайн нурууны хамгийн өндөр хэсгээс эх авдаг учраас унал их, урсгал хурдтай уулын гол юм. ","The Chuluut River is 415 km long. It originates from the highest part of the Khangai Mountains, making it a mountain river with a high gradient and fast flow.",Nature/Khustai.jpg.jpg,,,,,,,,,
24,1,Байгалийн үзэсгэлэнт газар,Чулуутын хавцал,Chuluut Canyon,Архангай,Arkhangai,Өндөр-Улаан,Undur-Ulaan,48.13213,100.27831,Чулуут гол нь Тээлийн голын адгаас доош Ацатын горхины адаг хүртэл 100 орчим км газарт 40-60 орчим м гүн хүрмэн чулуун хавцал үүсгэж урсана.,"The Chuluut River flows for about 100 kilometers from the mouth of the Teeli River to the mouth of the Atsat Stream, creating a 40-60 m deep rocky gorge.",Nature/MaikhanCamp.jpg.jpg,,,,,,,,,
25,1,Байгалийн үзэсгэлэнт газар,Шар нохойн там,Shar Nokhoin Tam,Архангай,Arkhangai,Тариат,Tariat,48.17286,99.82929,Тариат сутын төвөөс баруун хойд зүгт 5 км зайтай оршино.,It is located 5 km northwest of the center of Tariat.,Nature/OrkhonValley.jpg.jpg,,,,,,,,,
26,1,Байгалийн үзэсгэлэнт газар,Шивэртийн нуур,Shivert Lake,Архангай,Arkhangai,Тариат,Tariat,48.1096,99.17569,"Тэрхийн цагаан нуурын баруун зүгт 32 км  зайтай, далайн түшвнээс дээш 2050 метрийн өндөрт оршино.","It is located 32 km west of Lake Terkhin Tsagaan and at an altitude of 2,050 meters above sea level.",Nature/Suvarga hairhan.jpg,,,,,,,,,
27,1,Байгалийн үзэсгэлэнт газар,Цогт сүмбэр уул,Tsogtsumber Mountain,Архангай,Arkhangai,Чулуут,Chuluut,47.20897,100.11887,Чулуут сумын нутагт орших далайн түвшнээс дээш 3348.4 метр өндөрт орших сүрлэг сайхан хайрхан юм.,"It is a majestic and beautiful mountain located at an altitude of 3,348.4 meters above sea level in Chuluut soum.",Nature/TaikharRock.jpg.jpg,,,,,,,,,
28,1,Байгалийн үзэсгэлэнт газар,Хорго Тэрхийн Цагаан Нуур БЦГ,Khorgo Terkhian Tsagaan Nuur Natural Park,Архангай,Arkhangai,Тариат,Tariat,48.20705,99.64969,"Тэрхийн цагаан нуур, Хорго унтарсан галт уулын хосолсон аялал жуулчлалын бүс нутаг",Terkhian Tsagaan Nuur and Khorgo extinct volcano combined tourism area star_border Save translation,Nature/Terkhiinlake.jpg.jpg,,,,,,,,,
29,1,Байгалийн үзэсгэлэнт газар,Алаг нуур,Alag Lake,Баян-Өлгий,Bayan-Olgii,Ногооннуур,Nogoonnuur,49.51523,89.84679,Цагааннуур багийн төвөөс баруун зүгт 6 км зайтай оршино.,It is located 6 km west of the center of Tsagaannuur.,Nature/Tsonjinboldog.jpg,,,,,,,,,
30,1,Байгалийн үзэсгэлэнт газар,Алтай таван богд уул,Altai Tavan Bogd Mountain,Баян-Өлгий,Bayan-Olgii,Цэнгэл,Tsengel,48.62961,88.53588,Байгалийн цогцолборт газар,National Park,Nature/Ugiilake.jpg,,,,,,,,,
31,1,Байгалийн үзэсгэлэнт газар,Бага түргэний хүрхрээ,Baga Turgen Waterfall,Баян-Өлгий,Bayan-Olgii,Цэнгэл,Tsengel,48.50773,88.36274,Далайн түвшнээс дээш 2400 м өндөрт байдаг хүрхрээ,A waterfall located at an altitude of 2400 m above sea level,Nature/burhan-halduun.jpg,,,,,,,,,
32,1,Байгалийн үзэсгэлэнт газар,Бага хатуугийн нуур,Baga Khatuu Lake,Баян-Өлгий,Bayan-Olgii,Цэнгэл,Tsengel,49.058,88.389,Цэнгэл сумын төвөөс баруун хойд зүгт 64 км зайтай орших өндөр уулын цэнгэг нуур,A high mountain fresh lake located 64 km northwest of the center of Tsengel soum.,Nature/eejkhad.jpg.jpg,,,,,,,,,
33,1,Байгалийн үзэсгэлэнт газар,Баяннуур,Bayan Lake,Баян-Өлгий,Bayan-Olgii,Баяннуур,Bayannuur,48.83685,90.91247,Баяннуур сумын төв далйн түвшнээс дээш 1577 метр өндөрт байх энэхүү нуурын баруун хойд эрэгт оршино,"The center of Bayannur soum is located on the northwestern shore of this lake, which is 1,577 meters above sea level.",Nature/soronzon-khad.jpg,,,,,,,,,
34,1,Байгалийн үзэсгэлэнт газар,Даян нуур,Dayan Lake,Баян-Өлгий,Bayan-Olgii,Сагсай,Sagsai,48.33838,88.84895,Далын түвшнээс дээш 2232 м өндөрт орших цэнгэг нуур улсын хилээс 12.5 км зайтай байна. ,"The freshwater lake, located at an altitude of 2,232 m above sea level, is 12.5 km from the state border.",Nature/Ёлтын сав газар.jpg,,,,,,,,,
35,1,Байгалийн үзэсгэлэнт газар,Дунд нуур,Dund Lake,Баян-Өлгий,Bayan-Olgii,Ногооннуур,Nogoonnuur,49.49834,89.79635,Цагааннуур багийн төвөөс  баруун зүгт 2 км зайтай оршино.,It is located 2 km west of the center of Tsagaannuur.,Nature/Ёлын ам.jpeg,,,,,,,,,
36,1,Байгалийн үзэсгэлэнт газар,Мөнххайрхан уул,Munkhkhairkhan Mountain,Баян-Өлгий,Bayan-Olgii,Булган,Bulgan,47.0623,91.36196,"Баян-Өлгий аймгийн Булган сум, Ховд аймгийн Мөнххайрхан сумын хил залгаа нутгийг дамнан 40-80 километрийн өргөнтэйгөөр баруун хойноос зүүн урагш 200 гаруй километр үргэлжлэн оршдог. Мөнххайрхан уулын ноён оргил нь 4362 метр өндөр бөгөөд мөнх цас мөсөн гол бүхий Монголын хоёр дахь өндөр оргил болно. ","It extends from northwest to southeast for more than 200 kilometers, with a width of 40-80 kilometers, across the border of Bulgan soum of Bayan-Olgii aimag and Munkhkhairkhan soum of Khovd aimag. The peak of Munkhkhairkhan Mountain is 4362 meters high and is the second highest peak in Mongolia with a permanent snow and glacier.",Nature/Аав хөшөө.jpg,,,,,,,,,
37,4,Бусад,Найрамдал толгой,Nairamdal Hill,Баян-Өлгий,Bayan-Olgii,Өлгий,Olgii,48.97838,89.9811,Өлгий хотын эргэн тойрныг харах цэг,Viewpoint overlooking the city of Ulgii,Nature/Аварга тосон нуур.jpg,,,,,,,,,
38,1,Байгалийн үзэсгэлэнт газар,Онхотын нуур,Onkhot Lake,Баян-Өлгий,Bayan-Olgii,Цэнгэл,Tsengel,48.69259,88.59157,Далайн түвшнээс дээш 2113 м өндөрт орших цэнгэг нуур,A freshwater lake located 2113 m above sea level,Nature/Авирах хад.jpg,,,,,,,,,
39,1,Байгалийн үзэсгэлэнт газар,Потанины мөсөн гол,Potanin Glacier,Баян-Өлгий,Bayan-Olgii,Цэнгэл,Tsengel,49.14837,87.91775,"Монголын хамгийн том мөсөн гол бөгөөд 20 км урт, 5 км өргөнтэй байна. ","It is the largest glacier in Mongolia, measuring 20 km long and 5 km wide.",Nature/Агуйт уул.JPG,,,,,,,,,
40,1,Байгалийн үзэсгэлэнт газар,Таван бэлчирийн хүрхрээ,Tavan Belchir Waterfall,Баян-Өлгий,Bayan-Olgii,Баяннуур,Bayannuur,48.74614,90.70546,"Алтанцөгц сумын төвөөс зүүн өмнө зүгт 20 гаруй км, Баяннуур сумын төвөөс баруун урд зүгт 30 км зайтай оршино.",It is located more than 20 km southeast of the center of Altantsugts soum and 30 km southwest of the center of Bayannur soum.,Nature/Аж богдын нуруу.jpg,,,,,,,,,
41,1,Байгалийн үзэсгэлэнт газар,Тал нуур,Tal Lake,Баян-Өлгий,Bayan-Olgii,Дэлүүн,Deluun,48.048,90.183,Дэлүүн сумын төвөөс баруун хойд зүгт 55 км зайтай оршино.,It is located 55 km northwest of the center of Deluun soum.,Nature/Айраг нуур.jpg,,,,,,,,,
42,1,Байгалийн үзэсгэлэнт газар,Толбо нуур,Tolbo Lake,Баян-Өлгий,Bayan-Olgii,Толбо,Tolbo,48.54871,90.05283,"Толбо сумын төвөөс баруун хойд зүгт 13 км зайд,  далайн түвшнээс дээш 2079 м өндөрт оршино.","It is located 13 km northwest of the center of Tolbo soum, at an altitude of 2,079 m above sea level.",Nature/Айраг нуурын хиргэсүүр.jpg,,,,,,,,,
43,1,Байгалийн үзэсгэлэнт газар,Хар нуур,Khar Lake,Баян-Өлгий,Bayan-Olgii,Цэнгэл,Tsengel,48.60974,88.92814,Хурган нуураас зүүн зүгт 15 км зайтай оршино.,It is located 15 km east of Lake Khurgan.,Nature/Айргийн хүүхний гозгор.jpg,,,,,,,,,
44,1,Байгалийн үзэсгэлэнт газар,Хар нуур,Khar Lake,Баян-Өлгий,Bayan-Olgii,Цэнгэл,Tsengel,48.84793,88.55061,Далайн түвшнээс дээш 2614 м өндөрт орших цэнгэг нуур,A freshwater lake located at an altitude of 2614 m above sea level.,Nature/Алаг хайрхан уул.jpg,,,,,,,,,
45,1,Байгалийн үзэсгэлэнт газар,Хотон нуур,Khoton Lake,Баян-Өлгий,Bayan-Olgii,Цэнгэл,Tsengel,48.65424,88.29729,Далайн түвшнээс 2083 м өндөрт өргөгдсөн цэнгэг уст нуур. Улсын хилээс 10 хүрэхгүй км зайтай оршино. ,A freshwater lake located at an altitude of 2083 m above sea level. It is located less than 10 km from the state border.,Nature/Алтай таван богд.jpg,,,,,,,,,
46,1,Байгалийн үзэсгэлэнт газар,Хурган нуур,Khurgan Lake,Баян-Өлгий,Bayan-Olgii,Цэнгэл,Tsengel,48.55365,88.61064,Далын түвшнээс дээш 2073  м өндөрт орших цэнгэг нуур улсын хилээс 13 км зайтай байна. ,"The freshwater lake, located at an altitude of 2,073 meters above sea level, is 13 km from the country's border.",Nature/Алтан овоо.jpg,,,,,,,,,
47,1,Байгалийн үзэсгэлэнт газар,Цамбагарав уул,Tsambagarav Mountain,Баян-Өлгий,Bayan-Olgii,Баяннуур,Bayannuur,48.618,90.904,"Цамбагарав уул мөнх цаст уул бөгөөд 4195 метр өндөр. Ховд, Баян-Өлгий аймгийн хил дамнан оршино.","Tsambagarav Mountain is a snow-capped mountain with an altitude of 4,195 meters. It is located on the border of Khovd and Bayan-Olgii aimags.",Nature/Алтан сандал уулын буган хөшөө.jpg,,,,,,,,,
48,1,Байгалийн үзэсгэлэнт газар,Чигэртэй нуур,Chigertei Lake,Баян-Өлгий,Bayan-Olgii,Дэлүүн,Deluun,47.87762,90.46988,Дэлүүн сумын төвөөс баруун хойд зүгт 30 гаруй км зайтай оршино.,It is located more than 30 kilometers northwest of the center of Deluun soum.,Nature/Алтан элс.jpg,,,,,,,,,
49,1,Байгалийн үзэсгэлэнт газар,Шивээт хайрхан уул,Shiveet Kharkhan Mountain,Баян-Өлгий,Bayan-Olgii,Цэнгэл,Tsengel,49.108,88.223,"Шивээт Хайрхан уул, түүний хоёр талаас урсах Цагаан салаа, Хар салаа хоёр голын савд орших Хөх чулуу, Хар чулуу зэрэг газарт орших хадны зургийн дурсгалт газар нь нийт 240 гаруй хаданд зурсан зохиомж зурагнаас бүрдэнэ. ","The rock art monument, located in the basin of the Tsagaan Salaa and Khar Salaa rivers flowing from both sides of Mount Shiveet Khairkhan, consists of a total of more than 240 rock paintings.",Nature/Алтан өлгий хайрхан.jpg,,,,,,,,,
50,1,Байгалийн үзэсгэлэнт газар,Эхэн нуур,Ekhen Lake,Баян-Өлгий,Bayan-Olgii,Ногооннуур,Nogoonnuur,49.48598,89.75135,Цагааннуур багийн төвөөс өмнө зүгт 3 км зайтай оршино.,It is located 3 km south of the center of Tsagaannuur.,Nature/Алтанбулаг боомт.jpg,,,,,,,,,
51,1,Байгалийн үзэсгэлэнт газар,Цаст уул,Tsast Mountain,Баян-Өлгий,Bayan-Olgii,Алтагцөгц,Altantsugts,48.68171,90.725,"Алтанцөгц, Баяннуур сумын хилийн заагт далайн түвшнээс дээш 4208 метр өндөртэй, мөнх цаст уул юм. ","This mountain is a perpetually snowy mountain, 4208 meters above sea level, on the border of Altantsogts and Bayannur soums.",Nature/Алтанбулаг сум.jpg,,,,,,,,,
52,1,Байгалийн үзэсгэлэнт газар,Ёлтын сав газар,Yoltyn Basin,Баян-Өлгий ,Bayan-Olgii,Сагсай,Sagsai,48.17342,89.13895,Ёлтын сав газар нь Алтай суманд байрладаг. БНХАУ-тай хиллэдэг бөгөөд Алтай таван богдын байгалийн цогцолборт газрын үзэсгэлэнт газруудын нэг. ,The Yolt Basin is located in Altai Sum. It borders China and is one of the most beautiful places in the Altai Five Bogds National Park.,Nature/Алтанхөхий.jpg,,,,,,,,,
53,3,Шашны дурсгалт газар,Амарбуянт хийд,Amarbuyant Monastery,Баянхонгор,Bayankhongor,Баян-Өндөр,Bayan-Undur,44.62828,98.70212,Баян-Өндөр сумын нутагт  Шинэжинст сумаас баруун тийш 47км  орчим зайд  250 гаруй жилийн түүхтэй Амарбуянтын хийд оршино. ,"In Bayan-Ondur soum, about 47 km west of Shinejinst soum, there is the Amarbuyant Monastery, which has a history of over 250 years.",Nature/Алунгоо эхийн хөшөө.jpg,,,,,,,,,
54,1,Байгалийн үзэсгэлэнт газар,Бага Шаргалжуут,Baga Shargaljuut ,Баянхонгор,Bayankhongor,Өлзийт,Ulziit,46.23534,101.15372,Өлзийт сумын төвөөс зүүн хойд зүгт 45 км зайтай орших байгалийн үзэсгэлэнт газар.,A beautiful natural area located 45 km northeast of the center of Ulziit soum.,Nature/Амарбуянт хийд.jpg,,,,,,,,,
55,1,Байгалийн үзэсгэлэнт газар,Бөөнцагаан нуур,Buuntsagaan Lake,Баянхонгор,Bayankhongor,Баацагаан,Baatsagaan,45.58828,99.10458,"Нууруудын хөндий дэх хамгийн том нуур юм. Нуурт Байдраг гол цутгана.  Баацагаан сумын төвөөс баруун зүгт 25 км зайтай , далайн түвшнээс дээш 1313 метр өргөгдсөн.","It is the largest lake in the Valley of Lakes. The Baidrag River flows into the lake. It is located 25 km west of the center of Baatsagaan soum, at an altitude of 1313 meters above sea level.",Nature/Андлалын хөшөө.jpg,,,,,,,,,
56,1,Байгалийн үзэсгэлэнт газар,Галуутын хавцал,Galuut Canyon,Баянхонгор,Bayankhongor,Галуут,Galuut,46.60548,99.97078,"төвөөс 75 км, Галуут сумын төвөөс баруун тийш 20 орчим км-т оршдог. Олгой нуураас Галуут гол тийшээ урсан гарахдаа 2 км орчим урт энэ хавцлыг үүсгэжээ. Хавцал нь 100-150 орчим метр гүнзгий эгц цавчим бөгөөд өргөн нь дунджаар 10 метр орчим болно. ","It is located 75 km from the center of the city and about 20 km west of the center of Galuut soum. As it flows from Olgoi Lake to the Galuut River, it forms this canyon about 2 km long. The canyon is a steep gorge about 100-150 meters deep and has an average width of about 10 meters.",Nature/Анчин Баавайн гэр музей.jpg,,,,,,,,,
